"CONGLOME","VIVIENDA","HOGAR","UBIGEO","privacion_cocina","privacion_ilumina","privacion_comuni","privacion_electro","privacion_entreteni","puntaje","P101","P102","P1172.02","P207","P208A","P301A","MIEPERHO","Pobre_energético","ESTRATO","ingreso_pc_mensual","inseguridad_alimentaria","sexo_mujer","educacion_basica_completa","material_pared","estrato3","ingreso_pc_z","gasto_elec_z","distrito","provincia"
18621,5,11,"160101",1,0,0,0,0,0.4,1,1,43,1,53,7,6,1,2,482.710015190972,1,0,1,"Duradero","Urbano",-0.437756705504444,0.0270731048338119,"Iquitos","Maynas "
18621,46,11,"160101",1,0,0,1,0,0.53,1,1,21,2,71,6,3,1,2,1243.44498697917,1,1,1,"Duradero","Urbano",0.308395098683634,-0.366619350575384,"Iquitos","Maynas "
18626,10,11,"160101",1,0,1,0,0,0.53,1,1,40,1,59,9,1,1,2,5326.99772135417,1,0,1,"Duradero","Urbano",4.3136667810001,-0.0266122299947149,"Iquitos","Maynas "
18626,101,11,"160101",0,0,0,0,0,0,1,1,234,1,51,10,4,0,2,2965.36458333333,1,0,1,"Duradero","Urbano",1.99730577208987,3.44503942225001,"Iquitos","Maynas "
18628,36,11,"160101",0,0,0,0,0,0,1,1,44,2,59,10,2,0,2,2723.087890625,0,1,1,"Duradero","Urbano",1.75967348478735,0.0449682164433208,"Iquitos","Maynas "
18628,70,11,"160101",0,0,0,0,0,0,1,1,112,1,58,11,2,0,2,2375.77880859375,1,0,1,"Duradero","Urbano",1.41902226224743,1.26183580588993,"Iquitos","Maynas "
18628,102,11,"160101",0,0,0,1,0,0.13,1,1,158,1,37,9,4,0,2,1191.24365234375,1,0,1,"Duradero","Urbano",0.257194455274688,2.08501093992734,"Iquitos","Maynas "
18628,137,11,"160101",0,0,0,0,0,0,1,1,120,1,32,11,3,0,2,1670.42795138889,0,0,1,"Duradero","Urbano",0.727192868034236,1.404996698766,"Iquitos","Maynas "
18628,172,11,"160101",0,0,0,0,0,0,1,1,147,1,62,11,2,0,2,5940.43424479167,0,0,1,"Duradero","Urbano",4.9153438245069,1.88816471222274,"Iquitos","Maynas "
18634,29,11,"160101",1,0,0,0,0,0.4,1,1,292,2,76,10,6,1,2,1794.74587673611,0,1,1,"Duradero","Urbano",0.849127638658367,4.48295589560153,"Iquitos","Maynas "
18634,44,11,"160101",1,0,0,0,0,0.4,1,1,119,1,75,8,6,1,2,879.025444878472,1,0,1,"Duradero","Urbano",-0.0490385791459333,1.38710158715649,"Iquitos","Maynas "
18634,91,11,"160101",0,0,0,0,0,0,1,1,37,1,79,10,1,0,2,3556.4599609375,0,0,1,"Duradero","Urbano",2.57706994595169,-0.0802975648232416,"Iquitos","Maynas "
18636,118,11,"160101",0,0,0,0,0,0,1,1,160,1,32,10,3,0,2,2869.53428819444,0,0,1,"Duradero","Urbano",1.90331252836442,2.12080116314636,"Iquitos","Maynas "
18641,8,11,"160101",1,0,0,0,0,0.4,1,1,159,1,62,6,2,1,2,2241.03678385417,0,0,1,"Duradero","Urbano",1.28686322054718,2.10290605153685,"Iquitos","Maynas "
18641,19,11,"160101",0,0,0,0,0,0,1,1,21,2,62,9,3,0,2,3995.70963541667,0,1,1,"Duradero","Urbano",3.00789927450385,-0.366619350575384,"Iquitos","Maynas "
18641,42,11,"160101",0,0,0,0,0,0,1,1,318,1,78,9,2,0,2,2338.74674479167,0,0,1,"Duradero","Urbano",1.38270009717885,4.94822879744876,"Iquitos","Maynas "
18641,65,11,"160101",0,0,0,0,0,0,1,9,33,2,72,10,4,0,2,1177.27905273438,1,1,1,"Precario","Urbano",0.24349755480381,-0.151878011261277,"Iquitos","Maynas "
18641,110,11,"160101",0,0,0,0,0,0,1,1,318,2,78,9,4,0,2,842.112223307292,0,1,1,"Duradero","Urbano",-0.0852441801701481,4.94822879744876,"Iquitos","Maynas "
18642,10,11,"160101",0,0,0,0,0,0,1,1,66,2,54,8,3,0,2,908.937445746528,0,1,1,"Duradero","Urbano",-0.0196999865450016,0.438660671852517,"Iquitos","Maynas "
18642,50,11,"160101",1,0,0,0,0,0.4,1,1,50,1,44,8,7,1,2,685.851004464286,1,0,1,"Duradero","Urbano",-0.238509896468517,0.152338886100374,"Iquitos","Maynas "
18642,64,11,"160101",1,0,0,1,0,0.53,1,1,97,1,54,8,6,1,2,1977.87282986111,1,0,1,"Duradero","Urbano",1.02874407741429,0.993409131747293,"Iquitos","Maynas "
18642,132,11,"160101",0,0,0,1,0,0.13,1,1,9,1,82,8,1,0,2,1255.591796875,1,0,1,"Duradero","Urbano",0.320309056178715,-0.581360689889491,"Iquitos","Maynas "
18649,3,11,"160101",0,0,0,0,0,0,1,1,67,1,68,8,5,0,2,867.7171875,0,0,1,"Duradero","Urbano",-0.060130059041141,0.456555783462026,"Iquitos","Maynas "
18649,28,11,"160101",0,0,0,0,0,0,1,1,85,2,54,11,2,0,2,4387.033203125,0,1,1,"Duradero","Urbano",3.39172123207804,0.778667792433186,"Iquitos","Maynas "
18649,40,11,"160101",1,0,0,0,0,0.4,1,1,91,1,42,6,5,1,2,643.174739583333,1,0,1,"Duradero","Urbano",-0.280368064185035,0.88603846209024,"Iquitos","Maynas "
18649,53,11,"160101",1,0,0,0,0,0.4,1,1,68,1,36,9,4,1,2,1109.48933919271,1,0,1,"Duradero","Urbano",0.177007359216232,0.474450895071535,"Iquitos","Maynas "
18649,68,12,"160101",0,0,0,1,1,0.26,1,1,194,2,38,9,5,1,2,441.9521484375,0,1,1,"Duradero","Urbano",-0.477733250478412,2.72923495786966,"Iquitos","Maynas "
18649,81,11,"160101",1,0,0,1,0,0.53,1,1,45,2,46,8,2,1,2,1374.65055338542,1,1,1,"Duradero","Urbano",0.437085475390543,0.0628633280528297,"Iquitos","Maynas "
18649,93,11,"160101",1,0,0,0,0,0.4,1,1,195,2,37,11,3,1,2,2231.50520833333,1,1,1,"Duradero","Urbano",1.27751436380288,2.74713006947917,"Iquitos","Maynas "
18649,117,11,"160101",0,0,0,0,0,0,1,1,195,1,76,10,5,0,2,1144.49817708333,0,0,1,"Duradero","Urbano",0.211345083290117,2.74713006947917,"Iquitos","Maynas "
18650,17,11,"160101",0,0,0,0,0,0,1,1,0,2,42,9,3,0,2,2929.27799479167,1,1,1,"Duradero","Urbano",1.96191095767235,-0.742416694375072,"Iquitos","Maynas "
18650,38,11,"160101",0,0,0,0,0,0,1,1,75,2,42,8,2,0,2,1850.70328776042,1,1,1,"Duradero","Urbano",0.904012355073251,0.599716676338097,"Iquitos","Maynas "
18650,49,11,"160101",0,0,0,0,0,0,1,1,250,1,63,11,3,0,2,2339.97526041667,0,0,1,"Duradero","Urbano",1.38390506235602,3.73136120800216,"Iquitos","Maynas "
18650,74,11,"160101",0,0,0,0,0,0,1,1,83,2,57,7,3,0,2,2887.35850694444,1,1,1,"Duradero","Urbano",1.920795059695,0.742877569214169,"Iquitos","Maynas "
18650,83,11,"160101",1,0,0,0,0,0.4,1,1,88,2,85,6,3,1,2,1610.64811197917,1,1,1,"Duradero","Urbano",0.668558998574036,0.832353127261713,"Iquitos","Maynas "
18650,106,11,"160101",0,0,0,0,0,0,1,1,0,2,70,7,1,0,2,1278.49780273438,0,1,1,"Duradero","Urbano",0.34277595757348,-0.742416694375072,"Iquitos","Maynas "
18650,114,11,"160101",0,0,0,0,0,0,1,1,179,1,63,10,5,0,2,1388.05989583333,0,0,1,"Duradero","Urbano",0.45023776289084,2.46080828372702,"Iquitos","Maynas "
18651,7,11,"160101",0,0,0,0,0,0,1,1,177,2,54,9,6,0,2,1025.85438368056,1,1,1,"Duradero","Urbano",0.0949756724095985,2.42501806050801,"Iquitos","Maynas "
18651,38,11,"160101",0,1,0,1,0,0.33,1,1,0,1,66,9,1,1,2,1345.65738932292,1,0,1,"Duradero","Urbano",0.408648105640729,-0.742416694375072,"Iquitos","Maynas "
18651,87,12,"160101",1,0,0,1,0,0.53,1,1,0,2,31,4,5,1,2,285.471419270833,1,1,0,"Duradero","Urbano",-0.631214269122685,-0.742416694375072,"Iquitos","Maynas "
18651,87,22,"160101",0,0,0,0,0,0,8,9,50,1,35,8,3,0,2,1556.61610243056,1,0,1,"Precario","Urbano",0.615562773996853,0.152338886100374,"Iquitos","Maynas "
18651,130,11,"160101",0,0,0,0,0,0,1,1,146,1,67,10,2,0,2,7069.26953125,0,0,1,"Duradero","Urbano",6.0225395192732,1.87026960061323,"Iquitos","Maynas "
18597,82,11,"160101",1,0,0,1,0,0.53,1,1,24,2,70,10,2,1,2,1252.6025390625,1,1,1,"Duradero","Urbano",0.31737710195984,-0.312934015746858,"Iquitos","Maynas "
18574,57,11,"160101",0,0,0,0,0,0,1,1,273,2,65,10,3,0,2,2308.25412326389,0,1,1,"Duradero","Urbano",1.35279201432327,4.14294877502086,"Iquitos","Maynas "
18581,5,11,"160101",0,0,0,0,0,0,1,1,0,2,44,9,2,0,2,841.69921875,1,1,1,"Duradero","Urbano",-0.0856492674962068,-0.742416694375072,"Iquitos","Maynas "
18583,28,11,"160101",0,0,0,0,0,0,1,1,48,1,35,10,1,0,2,7976.46744791667,1,0,1,"Duradero","Urbano",6.91234659713811,0.116548662881356,"Iquitos","Maynas "
18583,69,11,"160101",1,0,0,0,0,0.4,1,1,421,1,38,8,7,1,2,1423.98428199405,1,0,1,"Duradero","Urbano",0.485473484321075,6.79142529322818,"Iquitos","Maynas "
18583,84,11,"160101",1,0,0,0,0,0.4,1,1,146,1,62,10,5,1,2,1496.62239583333,0,0,1,"Duradero","Urbano",0.556719137148893,1.87026960061323,"Iquitos","Maynas "
