CONGLOME,VIVIENDA,HOGAR,UBIGEO,P101,P102,P1172.02,P207,P208A,P301A,MIEPERHO,Pobre_energético,ESTRATO,ingreso_pc_mensual,inseguridad_alimentaria,sexo_mujer,educacion_basica_completa,material_pared,estrato3,ingreso_pc_z,gasto_elec_z
18598,133,11,160101,1,7,236,1,77,6,7,1,2,694.3076171875,1,0,1,Precario,Urbano,-0.23021539565713187,3.480829645469033
18599,4,11,160101,1,1,78,2,45,8,5,0,2,1446.5123697916665,1,1,1,Duradero,Urbano,0.507569712282816,0.653402011166624
18604,85,11,160101,1,1,159,2,71,11,4,0,2,2883.24609375,0,1,1,Duradero,Urbano,1.9167614808030125,2.1029060515368463
18604,109,11,160101,1,1,90,1,69,8,3,1,2,1107.008572048611,1,0,1,Duradero,Urbano,0.17457414798106638,0.868143350480731
18604,133,11,160101,1,1,44,2,64,10,2,0,2,5547.999348958333,0,1,1,Duradero,Urbano,4.530431842789924,0.04496821644332081
18604,157,11,160101,1,9,31,2,62,7,2,1,2,1060.560791015625,1,1,1,Precario,Urbano,0.12901676347325294,-0.1876682344802951
18612,48,11,160101,1,1,0,2,55,12,4,1,2,715.3472493489584,1,1,0,Duradero,Urbano,-0.20957908987533777,-0.7424166943750715
18612,70,11,160101,1,1,127,1,61,11,5,0,2,3058.721614583333,0,0,1,Duradero,Urbano,2.088873163999153,1.5302624800325608
18612,100,11,160101,1,1,273,1,38,10,7,1,2,1289.4603794642858,0,0,1,Duradero,Urbano,0.35352838346280924,4.142948775020863
18619,26,11,160101,1,1,126,1,34,10,3,0,2,1655.7652994791667,0,0,1,Duradero,Urbano,0.7128112968138355,1.512367368423052
18619,82,11,160101,1,9,50,2,77,7,7,1,2,781.8125930059524,1,1,1,Precario,Urbano,-0.14438787621380172,0.15233888610037433
18619,96,11,160101,1,1,176,1,60,11,4,0,2,4734.882161458333,0,0,1,Duradero,Urbano,3.732901981577782,2.4071229488984978
