CONGLOME,VIVIENDA,HOGAR,UBIGEO,P1131,P1132,P1133,P1135,P1136,P1137,P1139,P1121,P1141,P1142,P101,P102,P1172$02,radio,tv_color,tv_bn,refrigeradora,P207,P208A,P301A,MIEPERHO,INGHOG2D
20583,2,11,160103,0,0,0,0,1,0,0,0,0,0,1,8,0,2,2,2,2,1,63,5,1,3029.71435546875
20583,3,11,160103,0,0,0,0,1,1,0,0,0,1,1,7,0,1,2,2,2,1,63,5,3,13958.8681640625
20583,4,11,160103,0,1,0,0,1,0,0,0,0,1,1,7,0,1,2,2,2,1,63,5,4,14681.095703125
20583,37,11,160103,0,0,0,0,1,1,0,0,0,0,1,7,0,1,2,2,1,1,30,5,5,14509.2822265625
20583,38,11,160103,0,0,0,0,1,0,0,0,0,1,1,7,0,2,2,2,2,1,50,6,6,7010.5859375
20583,39,11,160103,0,0,0,0,1,1,0,0,0,0,1,7,0,2,2,2,2,1,64,5,4,18850.716796875
20583,40,11,160103,0,0,0,0,1,0,0,0,0,1,1,7,0,1,1,2,2,1,39,6,6,16864.791015625
18669,12,11,160104,0,0,0,0,1,0,0,1,0,1,1,7,8,2,2,2,2,1,54,7,7,56409.390625
18669,26,11,160104,0,0,0,0,1,1,0,1,0,1,1,7,0,2,2,2,2,1,40,5,5,15519.2705078125
18669,40,11,160104,0,0,0,0,1,1,0,1,0,1,1,7,9,2,2,2,2,1,58,3,2,7445.4140625
18669,63,11,160104,0,1,0,0,1,0,0,1,0,1,1,7,11,2,2,2,2,2,49,7,3,24362.962890625
18669,74,11,160104,0,1,0,0,1,0,0,1,0,1,1,9,10,2,1,2,2,1,54,7,4,45321.55078125
18669,95,11,160104,0,1,0,0,1,0,0,1,0,1,1,7,31,2,2,2,2,2,54,3,2,18603.87890625
18760,77,11,160104,0,1,0,0,0,1,0,0,0,1,1,7,0,1,1,2,2,1,63,6,4,12741.6083984375
18760,78,11,160104,0,1,0,0,0,1,0,0,0,1,5,7,0,1,2,2,2,2,60,5,3,15026.3193359375
18760,79,11,160104,0,1,0,0,1,1,0,0,0,1,1,7,0,1,2,2,2,1,59,5,5,12855.01171875
18760,80,11,160104,0,0,0,0,1,1,0,0,0,0,1,7,0,2,2,2,2,1,60,3,1,5269.57861328125
18751,15,11,160104,0,0,0,0,1,0,0,0,0,1,1,7,0,2,2,2,2,1,27,5,5,10666.8310546875
18751,13,11,160104,0,0,0,0,1,1,0,0,0,0,5,7,0,2,2,2,2,1,25,4,4,6738.4677734375
18751,14,11,160104,0,0,0,0,1,1,0,0,0,0,1,7,0,2,2,2,2,1,71,3,3,8651.4931640625
18751,100,11,160104,0,1,0,0,1,0,0,0,0,0,1,7,0,2,2,2,2,1,32,6,3,16727.86328125
18751,101,11,160104,0,1,0,0,1,0,0,1,0,1,1,7,17,1,2,2,2,1,38,6,4,17608.595703125
18751,102,11,160104,0,0,0,0,1,1,0,1,0,0,1,7,20,2,2,2,2,1,48,5,1,2740.1328125
18751,103,11,160104,0,1,0,0,1,0,0,1,0,1,1,7,19,1,2,2,2,1,51,7,4,37306.7109375
18760,253,11,160104,0,0,0,0,0,1,0,0,0,0,5,7,0,1,2,2,2,1,79,4,1,4616.0634765625
18760,254,11,160104,0,0,0,0,1,1,0,0,0,1,1,7,0,2,1,2,2,1,43,4,3,11249.31640625
